username,score,content,final_review,text,label,label_norm
Syahwa Putri Kurniawan,5,Lancar,lancar,lancar,positif,positif
tubagus rahmat,3,oke,oke,oke,positif,positif
ehen jak,5,sangat nenarik,nenarik,nenarik,positif,positif
BAKRI Bhabin,5,pokonx keren,pokonx keren,pokonx keren,positif,positif
Alisya Andrea,1,daftar nya harus bayar. gw bokek lagi..,daftar nya bayar bokek,daftar bayar bokek,positif,positif
Putri,5,mantap,mantap,mantap,positif,positif
Windu Kurniawan,5,semenjak ada wwe langganan trussss,semenjak wwe langgan trus,semenjak wwe langgan,positif,positif
Zins,5,bagus,bagus,bagus,positif,positif
Wat Wat,3,"nice ,💪👍😘",nice,nice,positif,positif
Didi Sukasna,5,"semakin berkelas, min promo dapat berlangganan setahun yang resmi dapat dimana?",kelas min promo langgan tahun resmi mana,kelas min promo langgan resmi,positif,positif
Muhammad Heru,5,😁😎👍🏻 Ya Like Ok,like oke,like oke,positif,positif
Maheswara Anggara,5,mantap,mantap,mantap,positif,positif
yanaura syifa,1,tidak sesuai ekspektasi,sesuai ekspektasi,sesuai ekspektasi,positif,positif
Jus Eka,5,"keren,mudah mudahan akan lebih baik lgi",keren mudah mudah lgi,keren mudah mudah lgi,positif,positif
fadhli yannur,4,Thank you,thank you,thank you,positif,positif
syehful,5,good,good,good,positif,positif
Muhamad Herdiyansyah,5,"bagus, cuma kurang lengkap aja",bagus lengkap,bagus lengkap,positif,positif
Binar Azzanira,5,"harga biaya bulanan terjangkau, mudah di akses dan series film nya banyak kualitas sudah pasti hd🤩🥳",harga biaya bulan jangkau mudah akses series film nya kualitas,harga biaya jangkau mudah akses series film kualitas,positif,positif
cino capu,5,bagus keren semoga film2 nya lebih lengkap,bagus keren moga film nya lengkap,bagus keren moga film lengkap,positif,positif
abu muhammad,5,jos,jos,jos,positif,positif
Fachriza Jayadimansyah,5,menonton sangat puas.,tonton puas,tonton puas,positif,positif
Silvester Renggo,5,good,good,good,positif,positif
oryza nasrul,5,bgusa,bgusa,bgusa,positif,positif
Edo Suhada,5,saya suka dengan aplikasi ini,suka aplikasi,suka,positif,positif
Riky Suardy,1,tidak bagus terlalu banyak permintaan,bagus minta,bagus,positif,positif
Adelia Putri,5,"apknya bagus cuma film nya kurang lengkap banyak film"" seru gada di sini pdhl film nya udah lama",apknya bagus film nya lengkap film seru gada pdhl film nya udah,apknya bagus film lengkap film seru gada film,positif,positif
Zidane Ganteng,5,bisa nonton sepuasnya bro😁,nonton puas bro,nonton puas,positif,positif
Muh Tohir,5,Keren,keren,keren,positif,positif
ANGGER SUTRISNO,5,keren,keren,keren,positif,positif
hilal rumagorom,5,jos,jos,jos,positif,positif
Tommy Gunawan,5,ok,oke,oke,positif,positif
Jubani Vanio,5,the best🫰🫰🇹🇱🇹🇱,the best,the best,positif,positif
Siti Fakhirah Qorrian,5,kualitas nya bagus,kualitas nya bagus,kualitas bagus,positif,positif
Muhammad Ichwan,5,good,good,good,positif,positif
Putri Aja,1,fidio nya gak lengkap,fidio nya lengkap,fidio lengkap,positif,positif
Andreas Timbul parasian,1,tak bole guna,bole,bole,positif,positif
Master Apace,5,keren,keren,keren,positif,positif
Mohamad Nasrun,5,menghibur,hibur,hibur,positif,positif
Jaka Oppo,1,bintang🌟net,bintang net,bintang net,positif,positif
Zena Cell,5,Netflix bagus 👍,netflix bagus,bagus,positif,positif
Krisman Batubara,5,mantap,mantap,mantap,positif,positif
Fina Fina,4,tempat nonton film yang sangat pas,nonton film pas,nonton film pas,positif,positif
Rini Anugrah86,5,bagus banget,bagus banget,bagus banget,positif,positif
Subhan Muhammad,5,mantap,mantap,mantap,positif,positif
Vincent Anton,5,Luar Biasa mantap!!! Tolong tambahkan game WWE 2025 Netflix Edition di Indonesia agar saya bisa men download dan memainkannya...,mantap tolong tambah game wwe netflix edition indonesia men download main,mantap tolong game wwe edition indonesia men download main,positif,positif
ilhamuddin Qosim,5,good,good,good,positif,positif
mobile legends,5,bagus vidio vidio nya?,bagus vidio vidio nya,bagus vidio vidio,positif,positif
I Nyoman Ronal,5,top,top,top,positif,positif
Iman Player,5,film bagus,film bagus,film bagus,positif,positif
Sri Mulyani,5,mantap,mantap,mantap,positif,positif
Mirza Mirzaa,5,bagussss film nyaaa,bagus film nya,bagus film,positif,positif
berkah usahabersama,5,bagus,bagus,bagus,positif,positif
Bunda Aqillah,5,ok,oke,oke,positif,positif
Irham Fadly,5,ok mantaf x la.......................,oke mantaf,oke mantaf,positif,positif
Israfil Phil,5,Alhamdulillah ada aplikasi ini bisa nonton tanpa ke bioskop heheh,alhamdulillah aplikasi nonton bioskop heheh,alhamdulillah nonton bioskop heheh,positif,positif
Aiza basmah Basmah,5,Mantep bngt,mantep banget,mantep banget,positif,positif
jo maddie,5,keren Topp mantap is the best,keren topp mantap the best,keren topp mantap the best,positif,positif
Dennis Tri,5,oke,oke,oke,positif,positif
Konan Kalsa,5,good,good,good,positif,positif
Namira Ilyas,5,good,good,good,positif,positif
Infinix Hijau,5,kualitas flimnya bagus sekali,kualitas flimnya bagus,kualitas flimnya bagus,positif,positif
Zufarpolo Zura,5,Gpp bagus aja😊,gpp bagus,gpp bagus,positif,positif
Elly Ezra,5,netflix seru yang drama,netflix seru drama,seru drama,positif,positif
Hera Yunata,5,Mantap,mantap,mantap,positif,positif
Dina maulana,5,ok,oke,oke,positif,positif
Zeefanya Bellia Qeeran Prayogo,5,bagus aja,bagus,bagus,positif,positif
Alfaqir lukman bin Tatang,5,mudah dan update vidionya,mudah update vidionya,mudah update vidionya,positif,positif
Mochamad Rudiasnawan,5,ok,oke,oke,positif,positif
Albert Horman,5,aplikasi ini lumayan bagus walaupun masih ada film yg aku pengen nonton tapi GK ada di Netflix tapi sudah bagus film filmnya juga berkualitas,aplikasi lumayan bagus film ken nonton netflix bagus film film kualitas,lumayan bagus film ken nonton bagus film film kualitas,positif,positif
Jamal Uddin,5,netflix sangat menyenangkan,netflix senang,senang,positif,positif
Andi Husaini,5,very god,very god,very god,positif,positif
Aprili April,5,makasih Netflix sangat mempermudah untuk nonton drakor,makasih netflix mudah nonton drakor,terima kasih mudah nonton drakor,positif,positif
Grivano Gilang Restandy,5,bagus,bagus,bagus,positif,positif
Ferdy Yohanes,5,Ok,oke,oke,positif,positif
rozaq luqman,5,oke,oke,oke,positif,positif
Firaa Dzafiraa,5,oke,oke,oke,positif,positif
Ipan Pos,5,Oke,oke,oke,positif,positif
Cak SlentheM Tube,5,ssiiiippp,ssip,ssip,positif,positif
ARYANDI APRIAN,5,the best,the best,the best,positif,positif
Tuti Fauzie,4,ok👍,oke,oke,positif,positif
mariyatul ikrimah,5,seru,seru,seru,positif,positif
bakso Bulat,5,ok,oke,oke,positif,positif
Welly rakhmawan,5,the best ahhhh,the best,the best,positif,positif
Heri,5,Sebelumnya terimakasih?,terimakasih,terimakasih,positif,positif
Nur islamiah Aprilia,5,yes ok banget,yes oke banget,yes oke banget,positif,positif
leo resya,5,good,good,good,positif,positif
Fajeri Anoor,5,Good,good,good,positif,positif
Sri indratama Wahyu jatmiko,5,ok,oke,oke,positif,positif
Feri Ferdianto,5,bagus bagus untuk gta-nya,bagus bagus gta nya,bagus bagus gta,positif,positif
Fahrur Rozi,5,mantap,mantap,mantap,positif,positif
Bia Cy,1,tidak bagus,bagus,bagus,positif,positif
Armansyah Amang,5,keren wak,keren wak,keren wak,positif,positif
Karsa erika Demiansyah2,5,keren,keren,keren,positif,positif
