userName,score,content,final_review,cleaned_review,labeling ,predicted_label
Afrida Ditaa,1,diperbaiki lagi aplikasi nya udah berkali² download tapi waktu mau login selalu gabisa,baik aplikasi nya udah kali download login gabisa,kali download login gabisa,,negatif
Rauza Tun,1,mau login ssh bgt kembali2 mulu pdhl udh selesai byk bgt muter2ny,login ssh banget mulu pdhl selesai byk banget muterny,login ssh banget mulu selesai byk banget muterny,,negatif
April Saputri,1,"aplikasi ini tidak rekomended, apk ini pemerasan kalau langganan otomatis uang kepotong",aplikasi rekomended apk peras langgan otomatis uang potong,rekomended peras langgan otomatis uang potong,,negatif
Najla AP,5,"APLIKASI NONTON KESUKAAN AKU POKOKNYAAAAAAA!!!!! sumpah anime² lengkap, drakor, western, bnyk lah pokoknya, trusss yg pling aku cinta ini tuh pas download film nya SE CEPET ITU PLIS?! kek gada 2menit, langsung ke unduh. dan terimakasih Netflix sudah hadir menemani hari hari ku🥲❤️🥰",aplikasi nonton suka pokok sumpah anime lengkap drakor western bnyk pokok trus pling cinta tuh pas download film nya cepet plis kek gada menit langsung unduh terimakasih netflix hadir tani,nonton suka pokok sumpah anime lengkap drakor western bnyk pokok pling cinta tuh pas download film cepet plis kek gada menit langsung unduh terimakasih hadir tani,,positif
Handsomenia,3,"cuma dapet 3 , knp, karena semua film tidak ada yang enak/menarik, film film yang sudah ada di putar dan yang lucu nya , film yang sudah lama tayang di taro dalam slide hanya di netflix , banyak yang udah di tonton dan banyak pula yang tidak menarik, di web internet pun bahkan lebih bagus dgn film"" terbaru dan itu gratis, ini berbayar tapi banyak film yang sudah di lihat, masih mencari apk stream utk film yang bagus 2 apk sudah tumbang krn tidak menarik dengan film yang di suguhkan",dapet knp film enak tarik film film putar lucu nya film tayang taro slide netflix udah tonton tarik web internet bagus dgn film baru gratis bayar film lihat cari apk stream utk film bagus apk tumbang krn tarik film suguh,dapet knp film enak tarik film film putar lucu film tayang taro slide tonton tarik web internet bagus film gratis bayar film lihat cari stream utk film bagus tumbang tarik film suguh,,netral
Wk Wk,1,ga bisa login kode pendaftaran nya di Gmail sedangkan gmailnya di pake buat login ya kek mana cara dapetin keluar dulu trus masuk lagi malah ngulang,login kode daftar nya gmail gmailnya pake login kek dapetin trus masuk ngulang,login kode daftar gmail gmailnya pake login kek dapetin masuk ngulang,,negatif
Fikram Maulana,1,"aplikasi macam apa ini mau login aja bayar, mana mahal banget lagi, aku rating 1 saja karena tidak bermanfaat, tidak usah di download, nanti bayar kalau mau login.",aplikasi login bayar mahal banget rating manfaat download bayar login,login bayar mahal banget rating manfaat download bayar login,,negatif
M Sigit Rahmanto,1,sudah cancel membership tetapi masih tetap dipotong,cancel membership potong,cancel membership potong,,negatif
garong,1,kwkw sekelas Netflix Ga ada Anime Kingdom. kalah sama wibuku/animelovers yg gratisan. nyesel gua bayar,kwkw kelas netflix anime kingdom kalah wibuku animelovers gratis nyesel gua bayar,kwkw kelas anime kingdom kalah wibuku animelovers gratis nyesel bayar,,negatif
Dewi Roro,1,film lawas2 semua ga ada film terbaru. Aquaman g ada godzilla vs Kong g ada. apa yg mau di lihat. kirain mah netflix komplit ternyata ga wort it,film lawas film baru aquaman godzilla kong lihat kirain mah netflix komplit wort,film lawas film aquaman godzilla kong lihat kirain mah komplit wort,,netral
Tri Sutrisno Putra Askar,1,"apa apaan, menyuruh membuat 5bakun agar bisa login di beberapa prangkat, baru login di 3 perangkat aja udah gak bisa dipakai",suruh bakun login prangkat login perangkat udah pakai,suruh bakun login prangkat login perangkat pakai,,negatif
najah kreasi,3,"beri kami opsi untuk bisa mengeksplorasi film di beranda tanpa harus login/ berlangganan dahulu, untuk memberi kesempatan kami yg hanya sub bulanan, jika ada film baru atau yg menarik bisa jadi kami akan berlangganan",opsi eksplorasi film beranda login langgan sempat sub bulan film tarik langgan,opsi eksplorasi film beranda login langgan sub film tarik langgan,,negatif
Domba Garut,5,walaupun agak susah tapi aku berusaha sebisa mungkin walau gagal Mulu tapi aku semangat biar bisa nonton di neflix,susah usaha bisa gagal mulu semangat biar nonton neflix,susah usaha gagal mulu semangat biar nonton neflix,,negatif
Ar Juna,5,gacor tapi mahal juga 120.00ribu,gacor mahal ribu,gacor mahal ribu,,negatif
Kamu Nanyak,1,masak gue daftar gak bisa bisa kan aplikasi tolol geram baget gue sampai hp hp gue banting. mending nonton di aplikasi vidio,masak gue daftar aplikasi tolol geram baget gue gue banting mending nonton aplikasi vidio,masak daftar geram baget banting mending nonton vidio,,netral
Anis Aja,1,aplikasi ga bagus tolol mending kalian jangan download,aplikasi bagus tolol mending download,bagus mending download,,positif
Sity Zaaa,1,apknya susah buat di daftarin udah ditulis akun gugel sama sandinya masih gk bisa,apknya susah daftarin udah tulis akun gugel sandi,apknya susah daftarin tulis akun gugel sandi,,negatif
Nur Istianto,1,sulit cara masuk akun atau pendaftaran nya!!!,sulit masuk akun daftar nya,sulit masuk akun daftar,,negatif
Putra Ramadhan,1,nnton kek tv hilang signal haduh hampir film gitu,nnton kek hilang signal haduh film gitu,nnton kek hilang signal haduh film gitu,,negatif
Selfi Jessica,1,capek pake netflix.. udah bayar ga bisa nonton.. hadeeeeh,capek pake netflix udah bayar nonton hadeh,capek pake bayar nonton hadeh,,negatif
Alfa Radiah Zulka,4,"Saya berterima kasih kepada Netflix atas koleksi anime yang sudah disediakan. Namun, saya merasa sedikit kecewa karena banyak anime populer yang hanya tersedia satu musim. Saya memahami bahwa hal ini mungkin disebabkan oleh masalah lisensi dan hak cipta. Akan tetapi, saya berharap Netflix bisa lebih transparan mengenai masa berlaku lisensi untuk setiap judul, sehingga kami sebagai pelanggan bisa lebih memahami mengapa konten tertentu tidak tersedia secara lengkap. 🖖🏻",terima kasih netflix koleksi anime sedia kecewa anime populer sedia musim paham sebab lisensi hak cipta harap netflix transparan laku lisensi judul langgan paham konten sedia lengkap,terima kasih koleksi anime sedia kecewa anime populer sedia musim paham lisensi hak cipta harap transparan laku lisensi judul langgan paham konten sedia lengkap,,negatif
Zainal Hakim,5,"tolong dong berikan ke Adilan untuk kami yang langganan legal, tolong berikan hukuman kepada orang-orang yang langganan elegal lewat fitur sharing akun tolong di tindak jangan di biarkan",tolong adil langgan legal tolong hukum orang orang langgan elegal fitur sharing akun tolong tindak biar,tolong adil langgan legal tolong hukum orang orang langgan elegal fitur sharing akun tolong tindak biar,,netral
Muh.Taufik Hidayat,5,tolong kedepannya update film² keren lagi,tolong depan update film keren,tolong update film keren,,netral
Dalam Jutuh,3,"jujur saya suka dengan aplikasi ini, tapi pendaftaran nya benar² bikin saya emosi padahal data yg saya isi sudah sesuai, tapi selalu gagal",jujur suka aplikasi daftar nya emosi data isi sesuai gagal,jujur suka daftar emosi data isi sesuai gagal,,negatif
Anton Lee,2,"paling ribet buat beli paket lagi, susah masuk nya padahal Uda isi saldo tapi kaga bisa bayar",ribet beli paket susah masuk nya uda isi saldo kaga bayar,ribet beli paket susah masuk uda isi saldo kaga bayar,,negatif
Yolan Fajriani,2,"Netflix sedang kenapa ya sudah 2hari netflix saya tdk bisa menonton, memuat teruss sedangkan tagihan masih 1minggu lagi,,lihat banyak ulasan juga pd begitu.. tolong diperbaiki lagi! kalo sudah diperbaiki saya akan ganti rating bintangnya",netflix netflix tdk tonton muat teruss tagih minggu lihat ulas tolong baik kalo baik ganti rating bintang,tonton muat teruss tagih minggu lihat ulas tolong kalo ganti rating bintang,,netral
Rafta ardiansa,1,kenapa saya mau berlangganan ga ada pilihan pakai ewallet atau bank Indonesia?,langgan pilih pakai ewallet bank indonesia,langgan pilih pakai ewallet bank indonesia,,negatif
Vicky Ahmad Kassem,1,"tolong perbaiki ini apk kenapa saya udh bayar atau berlangganan kok malah gk bisa nonton , tulisanya dstu saldo berkurang dan ubah metode pembayaran, aneeh padhl kan udah daftar, waduh ini sama saja penipuan namanya tlong adminnn perbaiki ini tidak bagus untuk kepuasan pelanggan ..",tolong baik apk bayar langgan nonton tulisanya dstu saldo kurang ubah metode bayar aneeh padhl udah daftar tipu nama tlong admin baik bagus puas langgan,tolong bayar langgan nonton tulisanya dstu saldo ubah metode bayar aneeh padhl daftar tipu nama tlong admin bagus puas langgan,,negatif
Raisa Eka putru,5,"karna netflix lebih baik dari pada wetv banyak iklannya , mana lama ada 5 menitan iklannya . untung saya inget ,kan ada netflix. tapi saya takut netflix bayar",karna netflix wetv iklan menit iklan untung inget netflix takut netflix bayar,karna wetv iklan menit iklan untung inget takut bayar,,negatif
Immanuel Ersa,1,aplikasi la baga-baga,aplikasi baga baga,baga baga,,negatif
?,1,"pencuri, hati hati yg langganan netfil pencuri",curi hati hati langgan netfil curi,curi hati hati langgan netfil curi,,negatif
Alexis Tommars,1,"Netflix ini knp ya? Dr kmrn² mau nonton tp loading mulu. Kl liat trailer aman jaya, giliran mau di tonton fullnya, loading mulu. Pdhl jaringan internet aman banget. Udh brp hr ini di coba gitu terus. Performa netflix knp jd makin buluk sih?",netflix knp kmrn nonton loading mulu liat trailer aman jaya gilir tonton fullnya loading mulu pdhl jaring internet aman banget brp coba gitu performa netflix knp buluk sih,knp kmrn nonton loading mulu liat trailer aman jaya gilir tonton fullnya loading mulu jaring internet aman banget brp coba gitu performa knp buluk sih,,negatif
Anto RJH (Rumah Jasa & Hukum),2,"Tiap nonton selalu ngebug dan ngelag, pakai wifi yang lumayan tinggi Mbps nya...tolong perbaiki jika masih mau banyak pelanggan",nonton ngebug ngelag pakai wifi lumayan mbps nya tolong baik langgan,nonton ngebug ngelag pakai wifi lumayan mbps tolong langgan,,negatif
Maria Aurelli,1,install uninstall ulang terus grgr pencet masuk malah ke akun baru :(,install uninstall ulang grgr pencet masuk akun,install uninstall ulang grgr pencet masuk akun,,netral
Muhammad Noval,3,"sering ngebug, tidak bisa diputar dengan alasan sudah diputar lebih dari 1 perangkat, padahal cuman login di satu perangkat",ngebug putar alas putar perangkat cuman login perangkat,ngebug putar alas putar perangkat cuman login perangkat,,netral
Tri Saputra Ananda,1,gak jelas padahall sandi udah betul email betul tapi salah katanyap,padahall sandi udah email salah katanyap,padahall sandi email salah katanyap,,negatif
Ridho Alief Saputra,5,"netflix bagus,tanpa sensor",netflix bagus sensor,bagus sensor,,positif
Dafa Yuda,5,aku masuk tapi kok bayar kenapa harus pergi,masuk bayar pergi,masuk bayar pergi,,negatif
pandu pratama,1,"when login my screen show notif cant connect Netflix, though i checked there are no connection issue with my provider",when login screen show notif cant connect netflix though checked there are connection issue with provider,when login screen show notif cant connect though checked there are connection issue with provider,,negatif
MUSIC LOVERS ID,5,bagus nan mahal,bagus nan mahal,bagus nan mahal,,positif
Muhamad Ibil ilyas,1,"Apk gak jelas anj....mau daftar ribet amat bolak balik terus, berbayar doang tapi gak sesuai sama kualitasnya!!!!",apk anj daftar ribet bolak bayar doang sesuai kualitas,daftar ribet bolak bayar doang sesuai kualitas,,negatif
Jhelita Aristawaty,2,"mau bikin akun baru, ada 2 pilihan antara email atau bisa juga no hp, giliran pake no hp ngga bisa, ngga masuk², ngga lanjut². kaya gitu ngapain ngasih 2 opsi? wkwkwk",akun pilih email gilir pake ngga ngga masuk ngga kaya gitu ngapain ngasih opsi wkwkwk,akun pilih email gilir pake masuk kaya gitu ngapain ngasih opsi,,negatif
Apry saputra,1,bisa gak saldo ku jagan d potong trusss,saldo jagan potong trus,saldo jagan potong,,negatif
Berak Inisana.,1,kecing apk ne dadak di kei akun gogle barang as,cing apk dadak kei akun gogle barang,cing dadak kei akun gogle barang,,negatif
Fitri Damayanti,1,karena ada email sama sandi,email sandi,email sandi,,negatif
Steven Falevi,2,"saya menggunakan 2 ponsel untuk menonton netflix, jadi awal nya lancar' aja dan sampe akhirnya di hp yang samsung saya loading lama dan ga bisa nonton sama sekali, bahkan untuk download aja ga bisa, tapi di hp yang oppo aman' aja, sudah saya hapus apk ny dan download kembali tapi masih saja ga bisa, padahal 1 jaringan, tolong ya di berikan solusi atau di buat jadi lebih baik lagi untjk netflix",ponsel tonton netflix nya lancar sampe samsung loading nonton download oppo aman hapus apk nya download jaring tolong solusi untjk netflix,ponsel tonton lancar sampe samsung loading nonton download oppo aman hapus download jaring tolong solusi untjk,,negatif
Abdi Raja,1,padahal udh di download tetep ga bisa di putar film nya tulisan nya memuat mulu,download tetep putar film nya tulis nya muat mulu,download tetep putar film tulis muat mulu,,negatif
Seni Januarti,1,"Mau masuk doang suruh bayar dulu pake kartu atm lagi , gimana sama yang gapunya atm.mau nnton juga ribet amat mesti pake ini itu auto unsinstall .",masuk doang suruh bayar pake kartu atm gimana gapunya atm nnton ribet mesti pake auto unsinstall,masuk doang suruh bayar pake kartu atm gimana gapunya atm nnton ribet mesti pake auto unsinstall,,negatif
Anah Karlina,1,TOLOL GA BISA MASUK DISURUH TUNGGU BEBERAPA SAAT MULUU,tolol masuk suruh tunggu muluu,masuk suruh tunggu muluu,,negatif
Juniar ilman Mazidan,1,"aplikasi sampah, langganan premium sampai 3 bulan gak di kasih tau kalo saldo bisa kesedot, gak asik, padahal niat nya cuma 1 bulan aja.",aplikasi sampah langgan premium kasih tau kalo saldo sedot asik niat nya,sampah langgan premium kasih tau kalo saldo sedot asik niat,,negatif
Davy Numairi Atthobari,1,make free bith,make free bith,make free bith,,negatif
Badai11 Ramdani,2,Karena saat membuat aku sandi salah terus padahal itu sandi udah ku catat dari lama kok salah tapi dari aplikasi lain sandi nya benar. apa kah Netflix nya yg error atau apa ni?,sandi salah sandi udah catat salah aplikasi sandi nya kah netflix nya error,sandi salah sandi catat salah sandi kah error,,negatif
S Seee,5,dah banyak film nya,dah film nya,dah film,,negatif
Ikbal Soleh,5,makasih Netflix saya jadi otaku atau orang lain bilang wibu🗿🤓,makasih netflix otaku orang bilang wibu,terima kasih otaku orang bilang wibu,,netral
matcha's4u,5,"sedikit saran adalah di fitur daftar saya itu ditambahin filternya sesuai genre, jadi lebih menyesuaikan keinginan lagi mau nonton genre apa gitu yakan (kalo aku fitur daftar saya buat kurang lebih kayak ""tonton nanti"" di ytb gitu) & yang kedua saran untuk tambahin menu daftar2 movie/series yang udah kita tonton/selesaiin, kayak otomatis aja gitu. dan sedikit curhat aku banyak ketinggalan serial terbatas:), lowkey tidak mengenakan aja gitu karena time goes fast/waktu aku tidak selalu cukup.",saran fitur daftar ditambahin filter sesuai genre sesuai nonton genre gitu yakan kalo fitur daftar kayak tonton ytb gitu saran tambahin menu daftar movie series udah tonton selesaiin kayak otomatis gitu curhat tinggal serial batas lowkey kena gitu time goes fast,saran fitur daftar ditambahin filter sesuai genre sesuai nonton genre gitu yakan kalo fitur daftar kayak tonton ytb gitu saran tambahin menu daftar movie series tonton selesaiin kayak otomatis gitu curhat tinggal serial batas lowkey kena gitu time goes fast,,negatif
Fadil Akmad Fadhil,1,kenapa harus bayar ku kira ga harus bayar mahal lagi dari tadi banyakk masalah buat masuk nya,bayar bayar mahal banyakk masuk nya,bayar bayar mahal banyakk masuk,,negatif
Nizar Raihan,5,perbanyak film yang baru baru,banyak film,film,,netral
Ariani Adha,1,ini kalu login harus keanggotaan dulu gitu?,kalu login anggota gitu,kalu login anggota gitu,,negatif
Anhy Anhy,2,gpp sih,gpp sih,gpp sih,,positif
DIMAS AJISOKO,1,engga bisa masuk pake password bikin aplikasi berlangganan mahal tapi ngga bisa login,engga masuk pake password aplikasi langgan mahal ngga login,engga masuk pake password langgan mahal login,,negatif
Tharom Sutaeb,1,ribet banget bayarnya,ribet banget bayar,ribet banget bayar,,negatif
Awal Endah Devi Nursanti,1,"Saya sudah membayar paket Netflix melalu gopay, dan pembayaran berhasil. Tapi akun Netflix saya malah ditangguhkan katanya pembayaran tidak terverifikasi",bayar paket netflix lalu gopay bayar hasil akun netflix tangguh bayar verifikasi,bayar paket gopay bayar hasil akun tangguh bayar verifikasi,,negatif
Gwen Stefani,1,"Super disappointed with Netflix's selection! Can't believe they're missing some of the best shows like 'Love Revolution', 'Study Group', and 'Twinkling Watermelon'. What's the point of having a streaming service if they don't have the content I want? Until they add these shows, I'll be canceling my subscription.",super disappointed with netflix selection can believe they missing some the best shows like love revolution study group and twinkling watermelon what the point having streaming service they don have the content want until they add these shows canceling subscription,super disappointed with selection can believe they missing some the best shows like love revolution study group and twinkling watermelon what the point having streaming service they don have the content want until they add these shows canceling subscription,,positif
Aina Mardiyah,2,gk bisa pake google kah min masuk nya kesusahan saya pake email,pake google kah min masuk nya susah pake email,pake google kah min masuk susah pake email,,negatif
leha naila,1,Aflikasi tai g bsa d bka,aflikasi tai bsa bka,aflikasi bsa bka,,negatif
Pengguna Google,4,seru bagus tapi pas instal nya lama bgt +padahal tadinya udah 71 jadi dari 1 lagi duh emosi lah padahal pke wifi,seru bagus pas instal nya banget udah duh emosi pke wifi,seru bagus pas instal banget duh emosi pke wifi,,positif
Kiori Aihara,1,"suka ke logout sendiri, nyusahin bgt :I aplg klo login lewat email sandinya suka disalahin pdhl bener, terpaksa pake kode masuk",suka logout nyusahin banget aplg login email sandi suka disalahin pdhl bener paksa pake kode masuk,suka logout nyusahin banget aplg login email sandi suka disalahin bener paksa pake kode masuk,,negatif
Muqaffi,3,"Tolong tambah kecepatan pemutaran 0,8 - 1,2 saja ,, tak perlu sampai 0,25 karena tidak ada yg butuh nonton sepelan itu ...",tolong cepat putar butuh nonton sepel,tolong cepat putar butuh nonton sepel,,netral
Rafael,1,"Ini udah 5 hari gua nonton loading mulu, udah coba pake data sama wifi masih loading padahal internet kenceng, paling worst👎",udah gua nonton loading mulu udah coba pake data wifi loading internet kenceng worst,nonton loading mulu coba pake data wifi loading internet kenceng worst,,netral
Iqbal Mushodik,1,"diperbaiki lagi min, udah 2 minggu one piece gak rilis2, sumpah jadi males.",baik min udah minggu one piece rilis sumpah males,min minggu one piece rilis sumpah males,,negatif
fa rel,1,cara masuknya gimana anj**g,masuk gimana anj,masuk gimana,,negatif
Izzul Fahmi,1,banyak banget film yg jadi incaran ku ga tersedia disini woilah kecewa udh langganan. dari sekitar 20 target film yg pengen ku tonton cuma ada 3 aja yg tersedia di netflix,banget film incar sedia woilah kecewa langgan target film ken tonton sedia netflix,banget film incar sedia woilah kecewa langgan target film ken tonton sedia,,negatif
Elizabeth Kenisah amazing,3,"duh gmn yak, bgs si bgs yaaa. cm, bs gasiii jgn dikit² scene nya kepotong, dikit² animasi nya ga gerak/ngelag, dikit² ini, dikit² itu. ribet bah stiap kli itu terjadi hrs kluar Netflix mlulu. kesel kali loh, sinyal bgs pdhl bjir.. ngeganggu nntn bgt. dan kenapaa si netflix smuanya yg gue cari gaada. pdhl kan tujuan langganan netflix buat nntn yg gue mw tntn, tapi smuanya yg gue cari mlh gaada 😅. ujung²nya hrs nntn di apk lain jg 😶👋🏻.",duh gmn yak bgs bgs gas jgn dikit scene nya potong dikit animasi nya gerak ngelag dikit dikit ribet bah stiap kli hrs kluar netflix mlulu kesel kali loh sinyal bgs pdhl bjir ngeganggu nntn banget kenapaa netflix smuanya gue cari gaada pdhl tuju langgan netflix nntn gue tntn smuanya gue cari mlh gaada ujung nya hrs nntn apk,duh gmn yak bgs bgs gas jgn dikit scene potong dikit animasi gerak ngelag dikit dikit ribet bah stiap kli hrs kluar mlulu kesel kali loh sinyal bgs bjir ngeganggu nntn banget kenapaa smuanya cari gaada tuju langgan nntn tntn smuanya cari mlh gaada ujung hrs nntn,,negatif
Farrel Resky Ananda,1,"tiba² banget resolusi maksimal nya cuma SD, padahal kemarin masih bisa HDR aneh banget ni Netflix😠, saran aja ya min untuk update kedepannya semoga ditambah fitur untuk memilih resolusi disaat pemutaran film/series nya",banget resolusi maksimal nya kemarin hdr aneh banget netflix saran min update depan moga tambah fitur pilih resolusi saat putar film series nya,banget resolusi maksimal kemarin hdr aneh banget saran min update moga fitur pilih resolusi putar film series,,netral
ngohai yaneyan,5,makasi min,makas min,makas min,,positif
Roy,4,Can you make an option that I could look at all the movies available on the app? It's absurd that I have to use a website and look what movies you guys have,can you make option that could look all the movies available the app absurd that have use website and look what movies you guys have,can you make option that could look all the movies available the absurd that have use website and look what movies you guys have,,positif
Irfanfatih Irfanfatih,1,"pas masuk kebanyakan drama,jadi males",pas masuk banyak drama males,pas masuk drama males,,negatif
Agus Marwanto,5,memuaskan,muas,muas,,negatif
Amir Silaen,5,makasih terbayar nostalgia aku,makasih bayar nostalgia,terima kasih bayar nostalgia,,netral
Nurkafi 99,1,aplikasinya bagussih tap111111 lebih ba9us kalo gak pake email dan kata sandi!!!!!,aplikasi bagussih tap baus kalo pake email sandi,bagussih tap baus kalo pake email sandi,,negatif
Asep Zainal Muttaqin,1,"Kita ini ga punya waktu, sekalinya punya waktu mau nonton malah akun nya logout sendiri begitu mau masuk ada notifikasi terlalu banyak percobaan masuk, terlalu banyak dari mana orang cuma sekali. 186rb menguap sia2",sekali nonton akun nya logout masuk notifikasi coba masuk orang uap sia,nonton akun logout masuk notifikasi coba masuk orang uap sia,,netral
XGamerz,4,"netflik knapa ya... voice nya kecil, giliran sfx nya gede bngt, toling d perbaiki ini..smua filmnya kaya gini",netflik knapa voice nya gilir sfx nya gede banget toling baik smua film kaya gin,netflik knapa voice gilir sfx gede banget toling smua film kaya gin,,negatif
Anjing SnackVidio,1,aplikasi binatang ribet kali bah,aplikasi binatang ribet kali bah,binatang ribet kali bah,,negatif
nico qivo,5,great,great,great,,negatif
Copeiy Copiey,1,gak niat,niat,niat,,negatif
Iqi Gans,1,apaan prabayar daftar akunnya,prabayar daftar akun,prabayar daftar akun,,netral
Zahra ajah,1,apaan nih dulu perasaan gratis kok sekarang bayar? mending nonton ke bioskop dah. mau nonton gratis juga harus bayar sih,asa gratis bayar mending nonton bioskop dah nonton gratis bayar sih,asa gratis bayar mending nonton bioskop dah nonton gratis bayar sih,,negatif
Reja Adi permana,2,"ini knp ya netflix saya muter trs pas mau nonton, padahal jaringan bagus memo banyak hp g lemot,, aneh, bikin rugi aja percuma gua langgan ujung² nya g kepake 👎",knp netflix muter pas nonton jaring bagus memo lot aneh rugi gua langgan ujung nya kepake,knp muter pas nonton jaring bagus memo lot aneh rugi langgan ujung kepake,,negatif
Injuriss Aza,1,stuckkk dilogo netflix tidak bisa masuk ke akun pdhl bru byr 65rb :(,stuck logo netflix masuk akun pdhl bru byr,stuck logo masuk akun bru byr,,negatif
Yana Elizabeth,1,"sudah berlangganan rupanya tidak bisa dipakai😭 bagaimana ini. mau nonton, yang muncul hanya ""memuat"" padahal jaringan oke.",langgan pakai nonton muncul muat jaring oke,langgan pakai nonton muncul muat jaring oke,,positif
Ratno ROFIK,1,Sering bug system,bug system,bug system,,negatif
Adelvyna aulia putri,1,"udah daftar tapi di blg sandi salah trs,ga bisa login,daftar ulang malah di suryh bayar,udah di bayar malah ttp ga bisaa cmn di buat muter muterr",udah daftar blg sandi salah login daftar ulang suryh bayar udah bayar ttp bisaa cmn muter muterr,daftar blg sandi salah login daftar ulang suryh bayar bayar ttp bisaa cmn muter muterr,,negatif
Mus Min,1,susah login.langganan super mahal,susah login langgan super mahal,susah login langgan super mahal,,negatif
syifa darmawan,1,apk towwlowlll beadjingan kayak lowentew kowntol mewmeak pass mau login tuh guys gj banget uda masukin gmail tuh uda tapi kok ga bisa tetep aan login nya kya apk ini tuh cuman buatt ngasi gmail doang ga ada kya vido kyk towlowl lah beangseaattt,apk towwlowl beadjingan kayak lowentew kowntol mewmeak pass login tuh guys banget uda masukin gmail tuh uda tetep aan login nya kya apk tuh cuman buatt ngasi gmail doang kya vido kyk towlowl beangseaat,towwlowl beadjingan kayak lowentew kowntol mewmeak pass login tuh guys banget uda masukin gmail tuh uda tetep aan login kya tuh cuman buatt ngasi gmail doang kya vido kyk towlowl beangseaat,,negatif
Papsky TV,4,Terbaik. Sediakan pembayaran via potong pulsa dong. boikot gasih.,baik sedia bayar via potong pulsa boikot gasih,sedia bayar via potong pulsa boikot gasih,,negatif
Meilan MELODY J,1,"tidak bisa nonton di TV, Tidak bisa juga pakai pencerminan pintar dari hape ke TV. sementara WE TV, IQIYI bisa tuh.",nonton pakai cermin pintar hape iqiyi tuh,nonton pakai cermin pintar hape iqiyi tuh,,negatif
Itachi Akatsuki,1,jelek harus bebayar,jelek bebayar,jelek bebayar,,negatif
Ahmad Rivaldi,2,tolong reffund saldo yang di sedot secara tiba-tiba,tolong reffund saldo sedot,tolong reffund saldo sedot,,negatif
Wen Salindra,1,"ga jelas ni apk, udah siap Downloadterus ufah buat akun eh malah di suruh perbaharaui ini itu lah apa lah, udah siap itu nanti enta apa lagi, mending saya uninstal aja lah",apk udah downloadterus ufah akun suruh perbaharaui udah enta mending uninstal,downloadterus ufah akun suruh perbaharaui enta mending uninstal,,netral
