userName,score,content,final_review,cleaned_review,labeling 
Kalea,5,banyakin film politik atau sejenis nya,banyakin film politik jenis nya,banyakin film politik jenis,netral
Afrida Ditaa,1,diperbaiki lagi aplikasi nya udah berkali² download tapi waktu mau login selalu gabisa,baik aplikasi nya udah kali download login gabisa,kali download login gabisa,
Rauza Tun,1,mau login ssh bgt kembali2 mulu pdhl udh selesai byk bgt muter2ny,login ssh banget mulu pdhl selesai byk banget muterny,login ssh banget mulu selesai byk banget muterny,
April Saputri,1,"aplikasi ini tidak rekomended, apk ini pemerasan kalau langganan otomatis uang kepotong",aplikasi rekomended apk peras langgan otomatis uang potong,rekomended peras langgan otomatis uang potong,
Joko Widodo,1,aplikasi jembut!!!!!!,aplikasi jembut,jembut,negatif
Najla AP,5,"APLIKASI NONTON KESUKAAN AKU POKOKNYAAAAAAA!!!!! sumpah anime² lengkap, drakor, western, bnyk lah pokoknya, trusss yg pling aku cinta ini tuh pas download film nya SE CEPET ITU PLIS?! kek gada 2menit, langsung ke unduh. dan terimakasih Netflix sudah hadir menemani hari hari ku🥲❤️🥰",aplikasi nonton suka pokok sumpah anime lengkap drakor western bnyk pokok trus pling cinta tuh pas download film nya cepet plis kek gada menit langsung unduh terimakasih netflix hadir tani,nonton suka pokok sumpah anime lengkap drakor western bnyk pokok pling cinta tuh pas download film cepet plis kek gada menit langsung unduh terimakasih hadir tani,
Handsomenia,3,"cuma dapet 3 , knp, karena semua film tidak ada yang enak/menarik, film film yang sudah ada di putar dan yang lucu nya , film yang sudah lama tayang di taro dalam slide hanya di netflix , banyak yang udah di tonton dan banyak pula yang tidak menarik, di web internet pun bahkan lebih bagus dgn film"" terbaru dan itu gratis, ini berbayar tapi banyak film yang sudah di lihat, masih mencari apk stream utk film yang bagus 2 apk sudah tumbang krn tidak menarik dengan film yang di suguhkan",dapet knp film enak tarik film film putar lucu nya film tayang taro slide netflix udah tonton tarik web internet bagus dgn film baru gratis bayar film lihat cari apk stream utk film bagus apk tumbang krn tarik film suguh,dapet knp film enak tarik film film putar lucu film tayang taro slide tonton tarik web internet bagus film gratis bayar film lihat cari stream utk film bagus tumbang tarik film suguh,
Wk Wk,1,ga bisa login kode pendaftaran nya di Gmail sedangkan gmailnya di pake buat login ya kek mana cara dapetin keluar dulu trus masuk lagi malah ngulang,login kode daftar nya gmail gmailnya pake login kek dapetin trus masuk ngulang,login kode daftar gmail gmailnya pake login kek dapetin masuk ngulang,
Fikram Maulana,1,"aplikasi macam apa ini mau login aja bayar, mana mahal banget lagi, aku rating 1 saja karena tidak bermanfaat, tidak usah di download, nanti bayar kalau mau login.",aplikasi login bayar mahal banget rating manfaat download bayar login,login bayar mahal banget rating manfaat download bayar login,
M Sigit Rahmanto,1,sudah cancel membership tetapi masih tetap dipotong,cancel membership potong,cancel membership potong,
