userName,score,content,final_review
Muqaffi,3,"Tolong tambah kecepatan pemutaran 0,8 - 1,2 saja ,, tak perlu sampai 0,25 karena tidak ada yg butuh nonton sepelan itu ...",tolong cepat putar butuh nonton sepel
Rafael,1,"Ini udah 5 hari gua nonton loading mulu, udah coba pake data sama wifi masih loading padahal internet kenceng, paling worst👎",udah gua nonton loading mulu udah coba pake data wifi loading internet kenceng worst
Iqbal Mushodik,1,"diperbaiki lagi min, udah 2 minggu one piece gak rilis2, sumpah jadi males.",baik min udah minggu one piece rilis sumpah males
Aisa Muhammad,5,akhir nya bisa nonton Boboiboy baraju,nya nonton boboiboy baraju
fa rel,1,cara masuknya gimana anj**g,masuk gimana anj
Angela Romartir,1,apk puki,apk puki
hilal rumagorom,5,jos,jos
zaki kurniawan,5,👍,
Tommy Gunawan,5,ok,oke
Izzul Fahmi,1,banyak banget film yg jadi incaran ku ga tersedia disini woilah kecewa udh langganan. dari sekitar 20 target film yg pengen ku tonton cuma ada 3 aja yg tersedia di netflix,banget film incar sedia woilah kecewa langgan target film ken tonton sedia netflix
Hesti Aprilia,2,"MAKIN LAMA BUKAN MAKIN BAGUS MALAH MAKIN JELEK AJA GRAFIK GAMBARNYA . NGERASA RUGI BANGET BERLANGGANAN , MANA BERLANGGANAN RESMI !!!",bagus jelek grafik gambar ngerasa rugi banget langgan langgan resmi
Jubani Vanio,5,the best🫰🫰🇹🇱🇹🇱,the best
Ell Watu,3,ga jelas,
hadiat hondro,5,harus ada film Skibidi toilet,film skibidi toilet
Elizabeth Kenisah amazing,3,"duh gmn yak, bgs si bgs yaaa. cm, bs gasiii jgn dikit² scene nya kepotong, dikit² animasi nya ga gerak/ngelag, dikit² ini, dikit² itu. ribet bah stiap kli itu terjadi hrs kluar Netflix mlulu. kesel kali loh, sinyal bgs pdhl bjir.. ngeganggu nntn bgt. dan kenapaa si netflix smuanya yg gue cari gaada. pdhl kan tujuan langganan netflix buat nntn yg gue mw tntn, tapi smuanya yg gue cari mlh gaada 😅. ujung²nya hrs nntn di apk lain jg 😶👋🏻.",duh gmn yak bgs bgs gas jgn dikit scene nya potong dikit animasi nya gerak ngelag dikit dikit ribet bah stiap kli hrs kluar netflix mlulu kesel kali loh sinyal bgs pdhl bjir ngeganggu nntn banget kenapaa netflix smuanya gue cari gaada pdhl tuju langgan netflix nntn gue tntn smuanya gue cari mlh gaada ujung nya hrs nntn apk
Farrel Resky Ananda,1,"tiba² banget resolusi maksimal nya cuma SD, padahal kemarin masih bisa HDR aneh banget ni Netflix😠, saran aja ya min untuk update kedepannya semoga ditambah fitur untuk memilih resolusi disaat pemutaran film/series nya",banget resolusi maksimal nya kemarin hdr aneh banget netflix saran min update depan moga tambah fitur pilih resolusi saat putar film series nya
ngohai yaneyan,5,makasi min,makas min
Roy,4,Can you make an option that I could look at all the movies available on the app? It's absurd that I have to use a website and look what movies you guys have,can you make option that could look all the movies available the app absurd that have use website and look what movies you guys have
Irfanfatih Irfanfatih,1,"pas masuk kebanyakan drama,jadi males",pas masuk banyak drama males
campur an,1,"masa baru daftar akun langsung di suruh bayar anggota, udah di aplikasi nya gabisa login. tolol",daftar akun langsung suruh bayar anggota udah aplikasi nya gabisa login tolol
Siti Fakhirah Qorrian,5,kualitas nya bagus,kualitas nya bagus
Agus Marwanto,5,memuaskan,muas
Amir Silaen,5,makasih terbayar nostalgia aku,makasih bayar nostalgia
Nurkafi 99,1,aplikasinya bagussih tap111111 lebih ba9us kalo gak pake email dan kata sandi!!!!!,aplikasi bagussih tap baus kalo pake email sandi
Asep Zainal Muttaqin,1,"Kita ini ga punya waktu, sekalinya punya waktu mau nonton malah akun nya logout sendiri begitu mau masuk ada notifikasi terlalu banyak percobaan masuk, terlalu banyak dari mana orang cuma sekali. 186rb menguap sia2",sekali nonton akun nya logout masuk notifikasi coba masuk orang uap sia
Ayesha Azaria Saputra,1,gabisa login,gabisa login
XGamerz,4,"netflik knapa ya... voice nya kecil, giliran sfx nya gede bngt, toling d perbaiki ini..smua filmnya kaya gini",netflik knapa voice nya gilir sfx nya gede banget toling baik smua film kaya gin
Anjing SnackVidio,1,aplikasi binatang ribet kali bah,aplikasi binatang ribet kali bah
Dewi Riski,4,terlalu banyak film korea,film korea
nico qivo,5,great,great
Copeiy Copiey,1,gak niat,niat
Muhammad Ichwan,5,good,good
Cinta Novelia Rosa,3,jujur kenapa tiba-tiba ngestuck gak bisa play tontonan deh?? udah di perbarui padahal apknya masih gak bisa bisa,jujur ngestuck play tonton deh udah baru apknya
Iqi Gans,1,apaan prabayar daftar akunnya,prabayar daftar akun
SMAN 1 Cineam,1,susah banget skrg harus update household terus tiap mau nonton,susah banget skrg update household nonton
Muhammad Angger Maulana,1,aplikasi gjelas,aplikasi gjelas
Ynz,1,bikin males banget conan di Bstation malah dihapus gegara aplikasi satu ini,males banget conan bstation hapus gegara aplikasi
Vian Nur,1,jelek banget gua gak rekomendasiin bagusn lok-lok,jelek banget gua rekomendasiin bagusn lok lok
Zahra ajah,1,apaan nih dulu perasaan gratis kok sekarang bayar? mending nonton ke bioskop dah. mau nonton gratis juga harus bayar sih,asa gratis bayar mending nonton bioskop dah nonton gratis bayar sih
Putri Aja,1,fidio nya gak lengkap,fidio nya lengkap
Andreas Timbul parasian,1,tak bole guna,bole
Abit Kurnia,1,udah langganan gabisa login jangan di download dah parahh,udah langgan gabisa login download dah parah
Alfian Damiansyah,5,"boros baterai, padahal udah pakai penghemat baterai",boros baterai udah pakai hemat baterai
Reja Adi permana,2,"ini knp ya netflix saya muter trs pas mau nonton, padahal jaringan bagus memo banyak hp g lemot,, aneh, bikin rugi aja percuma gua langgan ujung² nya g kepake 👎",knp netflix muter pas nonton jaring bagus memo lot aneh rugi gua langgan ujung nya kepake
Yogi Manurung97,1,sudah berhenti berlangganan tapi saldo masih kepotong 👎,henti langgan saldo potong
Injuriss Aza,1,stuckkk dilogo netflix tidak bisa masuk ke akun pdhl bru byr 65rb :(,stuck logo netflix masuk akun pdhl bru byr
Yana Elizabeth,1,"sudah berlangganan rupanya tidak bisa dipakai😭 bagaimana ini. mau nonton, yang muncul hanya ""memuat"" padahal jaringan oke.",langgan pakai nonton muncul muat jaring oke
Master Apace,5,keren,keren
Ratno ROFIK,1,Sering bug system,bug system
Jisoo Sooyaaa,2,Netflix anjg sinyal gua bagus banget lohh knp Ngelag banget pas nonton film di elu buka tiktok lancar jaya di dk elu ngelag banget,netflix anjg sinyal gua bagus banget lohh knp ngelag banget pas nonton film elu buka tiktok lancar jaya elu ngelag banget
Adelvyna aulia putri,1,"udah daftar tapi di blg sandi salah trs,ga bisa login,daftar ulang malah di suryh bayar,udah di bayar malah ttp ga bisaa cmn di buat muter muterr",udah daftar blg sandi salah login daftar ulang suryh bayar udah bayar ttp bisaa cmn muter muterr
Mus Min,1,susah login.langganan super mahal,susah login langgan super mahal
Mohamad Nasrun,5,menghibur,hibur
Jaka Oppo,1,bintang🌟net,bintang net
syifa darmawan,1,apk towwlowlll beadjingan kayak lowentew kowntol mewmeak pass mau login tuh guys gj banget uda masukin gmail tuh uda tapi kok ga bisa tetep aan login nya kya apk ini tuh cuman buatt ngasi gmail doang ga ada kya vido kyk towlowl lah beangseaattt,apk towwlowl beadjingan kayak lowentew kowntol mewmeak pass login tuh guys banget uda masukin gmail tuh uda tetep aan login nya kya apk tuh cuman buatt ngasi gmail doang kya vido kyk towlowl beangseaat
Papsky TV,4,Terbaik. Sediakan pembayaran via potong pulsa dong. boikot gasih.,baik sedia bayar via potong pulsa boikot gasih
